"Welche drei der folgenden Kriterien sind Teil der Definition von Usability?","2 Grundlegende Begriffe und Konzepte","A Barrierefreiheit | B Effizienz | C Vollständigkeit | D Effektivität | E Zufriedenstellung | F Geschwindigkeit","0 1 0 1 1 0","",""
"Welche drei der folgenden Aussagen sind korrekt in Bezug auf den Begriff »Card-Sorting«?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Card-Sorting ist eine Methode zum benutzerorientierten Strukturieren von Informationen. | B Card-Sorting kann sowohl zum Erstellen neuer Navigationsstrukturen als auch zum Verbessern von bestehenden Navigationsstrukturen verwendet werden. | C Es werden zwei Arten von Card-Sorting unterschieden: neutral und vordefiniert. | D Die Teilnehmer an einem Card-Sorting sollten immer Usability Professionals sein. | E Die Teilnehmer an einem Card-Sorting sollten immer Benutzer des betreffenden interaktiven Systems sein. | F Beim Card-Sorting sind die Karten und deren Beschriftungen immer von einem Usability Professional vorgegeben.","1 1 0 0 1 0","",""
"Welche drei der folgenden Punkte beschreiben am besten den Unterschied zwischen einem Low-Fidelity-Prototyp und einem HighFidelity-Prototyp?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Low-Fidelity-Prototypen veranschaulichen immer nur Konzepte, wogegen High-Fidelity-Prototypen weit mehr umfassen. | B Low-Fidelity-Prototypen können mit sehr geringem Aufwand geändert werden, High-Fidelity-Prototypen in der Regel nicht. | C Ein High-Fidelity-Prototyp kann als Teil der Spezifikation der Benutzungsschnittstelle dienen, ein Low-Fidelity-Prototyp nicht. | D Ein High-Fidelity-Prototyp ähnelt dem fertigen interaktiven System, ein Low-Fidelity-Prototyp in der Regel nicht. | E High-Fidelity-Prototypen sollten mit dem zu nutzenden technischen Framework abgestimmt sein, damit nicht etwas in dem Prototyp enthalten ist, das gar nicht umsetzbar ist. Bei Low-Fidelity-Prototypen spielt das keine Rolle. | F Sowohl Low-Fidelityals auch High-Fidelity-Prototypen sollten immer aufgabenorientiert gestaltet sein, also eine sinnvolle Aufgabenerledigung demonstrieren können.","0 1 0 1 0 1","",""
"Welche eine der folgenden Aussagen beschreibt den Begriff »mentales Modell« am besten?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Eine Beschreibung eines fiktiven, aber realistischen Benutzers und was er bei der Verwendung eines interaktiven Systems zu tun beabsichtigt | B Eine Beschreibung der Teilaufgaben innerhalb einer Aufgabe, die ausgeführt werden müssen, um die Ziele des Benutzers zu erreichen | C Das Ergebnis des Denkprozesses einer Person darüber, wie etwas in der realen Welt funktioniert | D Ein kostengünstiges, einfaches Modell eines Designs oder Konzepts, das dazu dient, Rückmeldungen von Benutzern und anderen Interessenvertretern in frühen Phasen der Entwicklung einzuholen | E Informationen, die einen Benutzer dabei unterstützen, mit einem interaktiven System zu interagieren | F Ein Datenmodell, das abbildet, was die Teilnehmer nach einer Usability-Testsitzung über das interaktive System dachten","0 0 1 0 0 0","",""
"Welche drei der folgenden Aussagen über Design Patterns sind korrekt?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Ein Design Pattern ist eine Lösung eines häufig auftretenden Gestaltungsproblems in einem bestimmten Nutzungskontext. | B Ein Design Pattern besteht aus der Beschreibung eines Gestaltungsproblems und der Beschreibung einer allgemeinen Lösung. | C Wenn ein Design Pattern und eine Gestaltungsregel sich widersprechen, dann sollte man dem Design Pattern folgen und nicht der Gestaltungsregel. | D Ein Tooltipp (mit entsprechenden Erläuterungen dazu) ist ein Beispiel für ein Design Pattern. | E Der Einsatz von Design Patterns für die Lösungsgestaltung garantiert eine gute Usability der Lösung. | F Der Einsatz von Design Patterns beschleunigt den Prozess der Lösungsgestaltung.","1 0 0 1 0 1","",""
"Auf einer Website zum Buchen von Hotelzimmern für Geschäftsreisen gibt es ein Eingabefeld für den Anreisetag. Bei Auswahl des Feldes wird ein Kalender angezeigt, bei dem der aktuelle Tag vorausgewählt ist und der Benutzer diesen bestätigen oder einen anderen Tag im Kalender auswählen kann. Welches eine der Interaktionsprinzipien wurde mit dieser Entscheidung vornehmlich umgesetzt?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Aufgabenangemessenheit | B Fehlerrobustheit | C Selbstbeschreibungsfähigkeit | D Erlernbarkeit | E Erwartungskonformität | F Steuerbarkeit","0 0 1 0 0 0","",""
"Welche zwei der folgenden Aussagen verdeutlichen am besten den Unterschied zwischen Interaktionsprinzipien und Gestaltungsregeln?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Interaktionsprinzipien sind allgemeingültige Gestaltungsziele, deren Beachtung immer zu einer besseren Usability führt. Sie geben Leitplanken vor, um die sich ein Lösungsgestalter kümmern sollte, enthalten darüber hinaus aber keine Einschränkungen für die Gestaltung. | B Interaktionsprinzipien sind allgemeine Gestaltungsvorgaben, die bei der Lösungsgestaltung angewandt werden sollten, um eine gute Usability zu erreichen. | C Interaktionsprinzipien bieten eine allgemeine Orientierung, was beachtet werden sollte, um eine gute Usability zu erreichen. Je nach den Details der Lösungsgestaltung kann es aber auch Sinn machen, ein Interaktionsprinzip nicht zu befolgen. | D Gestaltungsregeln sind Empfehlungen für die Gestaltung von Lösungen, die spezifisch sind für eine bestimmte Technologie oder Domäne. Sie lassen dem Gestalter Interpretationsspielraum, um die kontextspezifischen Anforderungen an die zu gestaltende Lösung optimal erfüllen zu können. | E Gestaltungsregeln sind konkrete Vorgaben oder spezifische Empfehlungen zur Gestaltung von Lösungen, die vor allem dazu dienen, Konsistenz zu erreichen und Diskussionen um Gestaltungsvarianten abzukürzen. | F Gestaltungsregeln sind konkrete Vorgaben für die Gestaltung von Lösungen, die dem Gestalter keinen Interpretationsspielraum lassen. Hierdurch wird automatisch eine gute Usability der Lösung sichergestellt.","1 0 0 0 1 0","",""
"Viele Anwendungen bieten eine Undo-Funktion an, mit der Aktionen, die keinen unwiderruflichen Effekt haben, durch den Benutzer rückgängig gemacht werden können. Welche drei der folgenden Interaktionsprinzipien werden durch eine Undo-Funktion am ehesten NICHT unterstützt?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Aufgabenangemessenheit | B Fehlerrobustheit | C Selbstbeschreibungsfähigkeit | D Erlernbarkeit | E Erwartungskonformität | F Steuerbarkeit","1 0 1 0 1 0","",""
"Welche eine der folgenden Aussagen verdeutlicht die Wichtigkeit von Gestaltungsregeln?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Gestaltungsregeln sichern die Umsetzung der menschzentrierten Gestaltung, indem sie primären Benutzern ermöglichen, direkt an der Gestaltung teilzunehmen. | B Der unspezifische Charakter von Gestaltungsregeln gibt Designern die Freiheit, User-Interface-Elemente nach ihrem Belieben zu implementieren. | C Der spezifische Charakter von Gestaltungsregeln ermöglicht es Designern, die gleichen User-Interface-Elemente konsistent zu implementieren. | D Gestaltungsregeln ermöglichen es Designern, sich Unterschiede im Aussehen und Verhalten von Benutzungsschnittstellen innerhalb einer Organisation einfallen zu lassen. | E Gestaltungsregeln zielen in erster Linie darauf ab, die Verantwortung für die Gestaltung von Benutzungsschnittstellen auf das gesamte Designteam zu verteilen, anstatt dem User Interface Designer die alleinige Verantwortung zu überlassen. | F Gestaltungsregeln werden in Usability-Inspektionen verwendet, um festzustellen, ob ein Design den organisatorischen Anforderungen entspricht oder nicht.","0 0 1 0 0 0","",""
"Welche drei der folgenden Punkte sind Heuristiken, im Gegensatz zu Interaktionsprinzipien und Gestaltungsregeln?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Das interaktive System muss so gestaltet sein, dass Fehler des Benutzers von vornherein vermieden werden. | B Der Benutzer sollte die Interaktion mit dem interaktiven System nach eigenem Ermessen starten und seine Richtung und Geschwindigkeit beeinflussen können. | C Fehlermeldungen müssen immer gut sichtbar im oberen Viertel des Bildschirms in einem eigenen Bereich dargestellt werden, der die volle Breite des Bildschirms einnimmt. | D Der Benutzer sollte zu jeder Zeit klar erkennen können, was der aktuelle Systemstatus ist und welchen Einfluss dieser auf die aktuellen Handlungsmöglichkeiten des interaktiven Systems hat. | E Eine bestimmte Information soll im interaktiven System durchgängig in gleicher Weise entsprechend der Erwartung des Benutzers präsentiert werden. | F Alle im interaktiven System verwendeten Farben müssen in der Palette der erlaubten Farben des Unternehmens enthalten sein.","1 0 0 1 1 0","",""
"Eine Fachanwendung für Bankangestellte verwendet Fachausdrücke wie »elektronischer Zahlungsverkehr« und »Terminund Spareinlagen«. Auf welchem einen der folgenden Interaktionsprinzipien basiert diese Entscheidung vornehmlich?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Aufgabenangemessenheit | B Selbstbeschreibungsfähigkeit | C Steuerbarkeit | D Fehlerrobustheit | E Erwartungskonformität | F Konsistenz","0 0 0 0 1 0","",""
"Welche drei der folgenden Punkte sind Dinge, die häufig eintreten, wenn die Gestaltung eines interaktiven Systems ohne Gestaltungsregeln oder Styleguide erfolgt?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Die Lösungsgestaltung dauert länger. | B Die Lösungsgestaltung geht schneller. | C Die Analyse des Nutzungskontextes muss deutlich umfangreicher ausfallen. | D Die Konsistenz der gestalteten Lösung ist niedriger. | E Bei der Lösungsgestaltung gibt es weniger Aufwand für Diskussionen. | F Bei der Lösungsgestaltung gibt es mehr Aufwand für Diskussionen.","1 0 0 1 0 1","",""
"Bei einer komplexeren Website mit vielen Seiten wird auf jeder Seite immer an der gleichen Stelle eine Breadcrumb-Navigation angezeigt, d.h. eine Textzeile, die dem Benutzer anzeigt, an welcher Stelle er sich innerhalb der Website befindet. Der Breadcrumb zeigt den Navigationspfad von der Startseite über Zwischenseiten bis zur aktuellen Seite an. Welches eine der Interaktionsprinzipien wurde mit dieser Entscheidung primär umgesetzt?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Aufgabenangemessenheit | B Fehlerrobustheit | C Selbstbeschreibungsfähigkeit | D Erlernbarkeit | E Erwartungskonformität | F Steuerbarkeit","0 0 1 0 0 0","",""
"Welche zwei der folgenden Aussagen sind NICHT korrekt in Bezug auf den Begriff »mentales Modell«?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Mentale Modelle entstehen vor allem durch gemachte Erfahrungen, Training und erteilte Instruktionen. | B Die Erstellung von mentalen Modellen ist eine Technik zur Entwicklung von innovativen Gestaltungslösungen für interaktive Systeme. | C Mentale Modelle können beeinflusst werden durch Erwartungen, die durch die Benutzung ähnlicher Systeme entstehen. | D Mentale Modelle haben immer etwas mit Benutzungsschnittstellen zu tun. | E Ein mentales Modell zu einem interaktiven System existiert bereits, bevor das interaktive System das erste Mal benutzt wird. | F Das mentale Modell, das ein Benutzer zu einem interaktiven System hat, sollte wenn möglich vollständig und widerspruchsfrei sein.","0 1 0 1 0 0","",""
"Welche drei der folgenden Punkte sind Affordances eines Holzstuhls, d.h., welches sind Dinge, zu denen ein Holzstuhl auffordert?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Sich draufsetzen | B Sich draufsetzen und damit kippeln (auf den hinteren Stuhlbeinen balancieren) | C Etwas darauf ablegen, das nicht auf dem Boden liegen soll | D Sich draufstellen, um eine höhere Reichweite zu haben | E Ihn an einen anderen Ort verschieben | F Ihn zerschlagen und als Brennholz verwenden","1 0 1 1 0 0","",""
"Welche eine der folgenden Aussagen beschreibt den Begriff »Design Pattern« am besten?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Eine Sammlung von Buttons in verschiedenen Formen und Farben für die Verwendung auf einer Website | B Eine Sammlung von Personas mit sehr ähnlichen Merkmalen | C Eine Sammlung von Benutzergruppen mit sehr ähnlichen Merkmalen | D Eine Sammlung von 4 bis 8 Icons, die in einer festen Reihenfolge auf dem Screen angeordnet sind | E Ein Ansatz zur Lösung einer Aufgabe in einem gegebenen Nutzungskontext; der Ansatz muss in mehreren Usability-Testsitzungen beobachtet worden sein | F Eine Lösung eines häufig auftretenden Gestaltungsproblems in einem gegebenen Nutzungskontext, die ein Gestaltungsproblem, eine allgemeine Lösung und Beispiele für deren Anwendung beschreibt","0 0 0 0 0 1","",""
"Welche drei der folgenden Aussagen sind korrekt in Bezug auf Interaktionsprinzipien?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Interaktionsprinzipien sind allgemeine Ziele für die Gestaltung von gebrauchstauglichen interaktiven Systemen. | B Interaktionsprinzipien sind spezifischer als Heuristiken. | C Interaktionsprinzipien und Heuristiken sind dasselbe. | D Interaktionsprinzipien sind unabhängig von der spezifischen Implementierung eines interaktiven Systems. | E Interaktionsprinzipien sind allgemeingültig und gelten nicht nur für eine spezifische Technologie. | F Interaktionsprinzipien sind nicht allgemeingültig, sie gelten nur für IT-Systeme.","1 0 0 1 1 0","",""
"Welche drei der folgenden Begriffe bezeichnen Interaktionsprinzipien?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Erwartungskonformität | B Erlernbarkeit | C Verifizierbarkeit | D Fehlerrobustheit | E Konsistenz | F Funktionale Angemessenheit","1 1 0 1 0 0","",""
"Welche zwei der folgenden Methoden werden häufig zur UsabilityEvaluierung eingesetzt?","8 Gestaltungslösungen evaluieren","A Kontextuelles Interview | B Unmoderierter Usability-Test | C Fokusgruppen | D Tagebuch-Studie | E Erstellung von Storyboards | F Usability-Inspektion","0 1 0 0 0 1","",""
"Welche drei der folgenden Aussagen sind NICHT korrekt in Bezug auf Usability-Evaluierungen?","8 Gestaltungslösungen evaluieren","A Usability-Evaluierungen sind eine der wichtigsten Aktivitäten in der menschzentrierten Gestaltung. | B Usability-Evaluierungen müssen immer unter Einbeziehung von echten Benutzern durchgeführt werden. | C Usability-Evaluierungen sollten so früh wie möglich im Prozess der menschzentrierten Gestaltung durchgeführt werden. | D In der menschzentrierten Gestaltung ist es zwingend erforderlich, dass eine Usability-Evaluierung durchgeführt wird. | E Wenn das Ergebnis einer Usability-Evaluierung zeigt, dass nicht alle Nutzungsanforderungen erfüllt sind, dann muss die Lösungsgestaltung immer im Rahmen einer weiteren Iteration angepasst werden. | F Wenn das Ergebnis einer Usability-Evaluierung zeigt, dass nicht alle Nutzungsanforderungen erfüllt sind, dann kann das für jedes beliebige erarbeitete UX-Ergebnis dazu führen, das dieses angepasst werden muss.","1 1 0 0 1 0","",""
"In CPUX-F werden drei grundlegend unterschiedliche UsabilityEvaluierungsmethoden dargelegt: Usability-Test, Usability-Inspektion und Benutzerbefragung. Welche drei der folgenden Punkte beschreiben vorrangige Unterscheidungsmerkmale zwischen den genannten UsabilityEvaluierungsmethoden?","8 Gestaltungslösungen evaluieren","A Usability-Inspektionen werden in der Regel ohne Einbeziehung von Benutzern durchgeführt, bei Usability-Tests und Benutzerbefragungen sind immer Benutzer involviert. | B Benutzerbefragungen beziehen sich immer auf ein fertiges interaktives System oder einen High-Fidelity-Prototyp. Usability-Tests und Inspektionen hingegen können sich auch auf einen Low-FidelityPrototyp beziehen. | C Benutzerbefragungen beschäftigen sich vorrangig mit dem subjektiven Erleben des Benutzers (Zufriedenstellung und weitere Aspekte von User Experience) mit einem interaktiven System. Usability-Tests und Usability-Inspektionen beschäftigen sich vorrangig mit der Effektivität und Effizienz des interaktiven Systems. | D Usability-Tests ermitteln objektive Daten über Usability-Probleme eines interaktiven Systems, Usability-Inspektionen nicht. | E Die Grundlage einer Benutzerbefragung sind Erfahrungen, die die befragten Benutzer in der Vergangenheit mit dem interaktiven System gemacht haben. Die Grundlage für Usability-Tests ist die Beobachtung der tatsächlichen Nutzung. Die Grundlage für eine Inspektion ist die Erfahrung des Evaluators mit vergleichbaren interaktiven Systemen. | F Ein Usability-Test kann nur mithilfe eines fertigen interaktiven Systems oder eines High-Fidelity-Prototyps durchgeführt werden. Usability-Inspektionen und Benutzerbefragungen erfordern dies nicht.","1 0 1 1 0 0","",""
"Welche drei der folgenden Argumente unterstützen am besten die Aussage, dass Interviews und Fokusgruppen ungeeignet sind für eine Usability-Evaluierung?","8 Gestaltungslösungen evaluieren","A Fokusgruppen und Interviews werden typischerweise mit Fachexperten durchgeführt und nicht mit Benutzern. Dementsprechend ist es nicht sinnvoll, diese Methoden für eine Usability-Evaluierung einzusetzen. | B Der Fokus eines Interviews ist üblicherweise nicht das interaktive System selbst, sondern der Nutzungskontext des interaktiven Systems. | C Für eine Usability-Evaluierung mittels Interviews müsste man sehr viele Interviews durchführen. Dies ist sehr zeitaufwendig. | D Durch eine Fokusgruppe sammelt man vorrangig Information über die Meinungen und Einstellungen der Fokusgruppenteilnehmer gegenüber einem interaktiven System, die nur bedingt aussagefähig sind für die Usability des interaktiven Systems. | E Für eine Usability-Evaluierung mittels Fokusgruppen müsste man sehr viele Fokusgruppen durchführen. Dies ist sehr zeitaufwendig. | F Selbst wenn die Teilnehmer einer Fokusgruppe Benutzer sind und diese kurz zuvor das interaktive System benutzt haben und die Diskussion der Fokusgruppe auf die Zufriedenstellung der Benutzer konzentriert bleibt, ist die Methode ungeeignet als UsabilityEvaluierung, weil die Teilnehmer der Fokusgruppe sich gegenseitig beeinflussen und es so schwierig ist, reproduzierbar UsabilityProbleme zu identifizieren.","0 1 0 1 0 1","",""
"Welche drei der folgenden Punkte sind Varianten von UsabilityEvaluierungen?","8 Gestaltungslösungen evaluieren","A Benutzerbefragung | B Kontextuelles Interview | C Usability-Inspektion | D Usability-Test | E Beobachtung | F Fokusgruppe","1 0 1 1 0 0","",""
"Welche zwei der folgenden Punkte beschreiben NICHT einen möglichen Zweck einer Usability-Evaluierung in der menschzentrierten Gestaltung?","8 Gestaltungslösungen evaluieren","A Feststellen, ob ein interaktives System bestimmte formale Kriterien bezüglich der Usability erfüllt. | B Feststellen, in welchem Ausmaß ein interaktives System gebrauchstauglich ist. | C Feststellen, ob ein interaktives System aktuellen Trends im UserInterface-Design entspricht. | D Feststellen, ob ein interaktives System im Vergleich zu einem Referenzsystem für Benutzer zufriedenstellender ist oder nicht. | E Feststellen, ob ein interaktives System alle spezifizierten Nutzungsanforderungen erfüllt. | F Feststellen, dass ein interaktives System frei von UsabilityProblemen ist.","0 0 1 0 0 1","",""
"Welche eine der folgenden Aussagen beschreibt am besten den Begriff »formative Usability-Evaluierung«? (Hinweis: Das hier behandelte Thema – formative versus summative Usability-Evaluierung – ist nicht prüfungsrelevant.)","8 Gestaltungslösungen evaluieren","A Eine Usability-Evaluierung, die ein interaktives System gegen formale Kriterien prüft, die unabhängig vom Nutzungskontext einzuhalten sind. | B Eine Usability-Evaluierung, deren Ergebnisse dazu dienen, das interaktive System zu verbessern. | C Ein Usability-Test, der so gestaltet ist, dass die Ergebnisse statistisch ausgewertet werden können. | D Eine standardisierte Benutzerbefragung. Ein Beispiel ist der SUS (System Usability Scale). | E Eine Usability-Evaluierung, die gegen Ende der Gestaltung den erreichten Grad der Usability feststellen soll. | F Eine Usability-Evaluierung, die zu Beginn der Gestaltung den Grad der Usability eines zu verbessernden interaktiven Systems ermittelt.","0 1 0 0 0 0","",""
"Sie wurden angefragt, einen Usability-Test einer Autovermietungs-Website durchzuführen. Welche zwei der folgenden Aufgaben sind am besten geeignet als Testaufgaben für den Usability-Test?","8 Gestaltungslösungen evaluieren","A Buchen Sie für ein zu mietendes Auto eine Unfallversicherung dazu. | B Stellen Sie sich vor, Sie sind Formel-1-Weltmeister Sebastian Vettel und möchten mit Freunden zum Spaß eine Spritztour in dem schnellsten angebotenen Auto machen. Finden Sie das passendste Auto heraus und mieten Sie es für nächsten Samstag 9:00 bis 21:00 Uhr mit Abholung und Rückgabe in Zürich. | C Sie haben ein Problem mit Ihrem Mietvertrag. Finden Sie auf der Website heraus, wie Sie jemanden erreichen können, der Ihnen weiterhilft. | D Mieten Sie gemäß Ihren Bedürfnissen ein Auto für einen Ort Ihrer Wahl und für einen Zeitraum Ihrer Wahl. | E Schauen Sie sich die Startseite der Avis-Website an und sagen Sie mir, wie die Seite auf Sie wirkt. | F Benennen Sie Probleme, die Sie in der Website sehen für die Aufgabe »Eine Reservierung stornieren.«","0 0 1 1 0 0","",""
"Welche zwei der folgenden Punkte sind Aussagen, die in der Bewertung eines Usability-Befundes sinnvoll getroffen werden können?","8 Gestaltungslösungen evaluieren","A Wie kritisch der Befund ist | B Welche Konsequenzen der Befund im Detail hat | C Auf welche Weise das Usability-Problem behoben werden sollte | D Welche Stakeholder über den Befund benachrichtigt werden müssen | E Ob es sich aus Sicht des Usability-Experten um ein geringes, ein ernstes oder ein kritisches Problem handelt | F Die Priorität, mit der das Usability-Problem behoben werden sollte","1 1 0 0 0 0","",""
"Welche eine der folgenden Aussagen beschreibt am besten, was ein PostTest-Interview ist?","8 Gestaltungslösungen evaluieren","A Die Informationen, die der Moderator den Testteilnehmern vor dem Test zukommen lässt | B Die Informationen, die der Moderator den Testteilnehmern nach dem Test zukommen lässt | C Das Interview, das vor dem Test stattfindet | D Die Fragen, die der Moderator während des Tests stellt | E Das Interview, das unmittelbar nachdem der Testteilnehmer die Abarbeitung der Testaufgaben beendet hat, stattfindet | F Die Fragen, die der Moderator den Testteilnehmern nach dem Test stellt","0 0 0 0 1 0","",""
"Welche zwei der folgenden Aktivitäten gehören zur Vorbereitung oder Planung eines Usability-Tests?","8 Gestaltungslösungen evaluieren","A Briefing des Usability-Testteilnehmers über das, was während der Usability-Testsitzung passieren wird | B Erstellen des Usability-Test-Leitfadens | C Durchführen des Pre-Test-Interviews | D Rekrutierung geeigneter Usability-Testteilnehmer | E Festlegen der zu diskutierenden Themen | F Verfassen des Interview-Leitfadens","0 1 0 1 0 0","",""
"Welche zwei der folgenden Aussagen sind NICHT korrekt in Bezug auf die Verantwortlichkeiten der beteiligten Personen bei einem Usability-Test?","8 Gestaltungslösungen evaluieren","A Die Testteilnehmerin bewertet das interaktive System auf Grundlage individueller Kriterien. | B Der Moderator stellt während der Testdurchführung sicher, dass die Testteilnehmerin alle Testaufgaben vollständig erledigen kann. | C Der Beobachter sammelt Informationen, die ihm dabei helfen, bei der Analyse der Testergebnisse zu unterstützen. | D Die Protokollantin erfasst alle Usability-Probleme, positive Feststellungen und subjektive Äußerungen der Testteilnehmerin, die im Rahmen des Usability-Tests beobachtet wurden und die hilfreich sein können für die Analyse der Befunde. | E Der Moderator ist NICHT verantwortlich für die Erfassung von Informationen über Usability-Befunde des Usability-Tests. | F Der Moderator sorgt dafür, dass die Testteilnehmerin bei UsabilityProblemen, bei denen die Testteilnehmerin selbstständig nicht mehr weiterkommt, die Aufgabe trotzdem fortsetzen kann und der Usability-Test so möglichst viele Erkenntnisse bringt.","1 1 0 0 0 0","",""
"Welche drei der folgenden Aussagen sind korrekt für einen UsabilityTestbericht?","8 Gestaltungslösungen evaluieren","A Er sollte den Test-Leitfaden beinhalten. | B Er sollte auch positive Usability-Befunde beinhalten. | C Jeder Usability-Befund sollte durch einen Screenshot oder ein Bild illustriert werden. | D Zu jedem Usability-Problem sollte erläutert werden, wie das Problem behoben werden sollte. | E Es wird ein Usability-Testbericht pro Testsitzung erstellt. | F Er sollte eine Kurzdarstellung beinhalten, was im Rahmen des Usability-Tests gemacht wurde.","1 1 0 0 0 1","",""
"Welche drei der folgenden Aussagen beschreiben den Zweck eines PostTest-Interviews am besten?","8 Gestaltungslösungen evaluieren","A Feststellen, ob der Testteilnehmer mit der Durchführung des UsabilityTests zufrieden ist oder etwas zu beanstanden hat | B Verständnisfragen in Bezug auf aufgetretene Usability-Probleme klären, die während der Durchführung des Usability-Tests nicht geklärt werden konnten | C Ideen des Testteilnehmers sammeln, wie der Usability-Test verbessert werden könnte | D Ideen des Testteilnehmers sammeln, wie das interaktive System verbessert werden könnte | E Festhalten, was dem Testteilnehmer an dem interaktiven System gefallen oder missfallen hat | F Festhalten, wie der allgemeine Eindruck des Testteilnehmers zur User Experience des interaktiven Systems ist","0 1 0 0 1 1","",""
"Welche eine der folgenden Aussagen charakterisiert am besten einen Usability-Test eines interaktiven Systems?","8 Gestaltungslösungen evaluieren","A Eine Befragung von Benutzern über deren Erfahrungen, die sie in einer gerade vorher durchgeführten Benutzung des interaktiven Systems gemacht haben | B Ein repräsentativer Vertreter der zu betrachtenden Benutzergruppe benutzt das interaktive System und wird dabei beobachtet | C HCD Professionals führen Testfälle mit dem interaktiven System durch | D Benutzer testen das interaktive System, um Usability-Probleme zu erkennen | E Benutzer führen vorgegebene Aufgaben mit dem interaktiven System aus und werden anschließend dazu befragt | F Benutzer führen vorgegebene Aufgaben mit dem interaktiven System aus und werden dabei beobachtet, um Usability-Probleme aufzudecken.","0 0 0 0 0 1","",""
"Es soll ein Usability-Test durchgeführt werden für die Website eines PizzaLieferservice. Die Testteilnehmer sind potenzielle Kunden des PizzaLieferservice. Welche zwei der folgenden Aufgaben sind am besten geeignet als Testaufgaben für den Usability-Test?","8 Gestaltungslösungen evaluieren","A »Wählen Sie 5 Zutaten aus, die auf Ihre selbst zusammengestellte Pizza kommen sollen.« | B »Stellen Sie sich vor, Sie sind Pizzabäcker und möchten bei der Pizzeria arbeiten. Finden Sie heraus, ob es dort aktuell offene Stellen gibt.« | C »Finden Sie heraus, seit wann die Pizzeria bereits existiert.« | D »Bestellen Sie eine selbst zusammengestellte Pizza, bei der je eine Hälfte der Pizza mit 3 Zutaten Ihrer Wahl belegt ist. Lassen Sie die Pizza liefern zur Adresse Bahnhofstraße 13, 53123 Bonn und geben Sie an, dass Sie bar zahlen bei Lieferung.« | E »Beschreiben Sie, welchen Eindruck die Website auf Sie macht bezüglich der Wertigkeit der Pizzeria.« | F »Sie haben vor Längerem einmal auf der Website des PizzaLieferservice Ihre Lieblingspizza bestellt. Hierzu hatten Sie sich mit dem Login-Namen Hanna.Schmitz und dem Passwort J7T2P8 auf der Website registriert. Nun wollen Sie eine neue Bestellung durchführen, vorher jedoch aus Sicherheitsgründen das alte Passwort gegen ein neues Passwort Ihrer Wahl austauschen. Bitte ändern Sie das Passwort der Benutzerin Hanna.Schmitz auf der Website und bestellen Sie dann die gleiche Pizza wie beim letzten Mal.«","0 0 0 1 0 1","",""
"Welche drei der folgenden Aussagen beschreiben zutreffend den Unterschied zwischen einem unmoderierten Usability-Test und einem »normalen« Usability-Test?","8 Gestaltungslösungen evaluieren","A Ein unmoderierter Usability-Test findet nicht in einem Usability-Labor oder am Arbeitsplatz des Benutzers statt, sondern irgendwo anders. | B Bei einem normalen Usability-Test gibt es immer einen Moderator. | C Bei einem unmoderierten Usability-Test erledigt der Testteilnehmer keine Aufgaben, sondern gibt eine allgemeine Einschätzung ab zu dem interaktiven System. | D Bei einem unmoderierten Usability-Test wählt der Testteilnehmer selbst aus, welche Aufgaben er mit dem interaktiven System erledigen will. | E Bei einem unmoderierten Usability-Test wird die auf Video aufgezeichnete Testsitzung im Nachhinein von HCD Professionals analysiert. | F Bei einem unmoderierten Usability-Test gibt es keinen Moderator.","0 1 0 0 1 1","",""
"Welche eine der folgenden Personen wäre auf jeden Fall geeignet, Testteilnehmer bei einem Usability-Test für ein interaktives System zu sein, das grundsätzlich eine Benutzerschulung und eine gewisse Einarbeitungszeit erfordert?","8 Gestaltungslösungen evaluieren","A Eine Person, die regelmäßig an Usability-Tests vergleichbarer Systeme teilnimmt | B Ein HCD Professional, der mit den zu testenden Aufgaben vertraut ist | C Eine Person, die in das Benutzergruppenprofil der zu betrachtenden Benutzergruppe hineinpasst | D Ein professioneller Usability-Testteilnehmer, der viel Erfahrung in der Durchführung von Usability-Tests hat | E Ein möglichst unbedarfter Benutzer des zu testenden interaktiven Systems | F Ein HCD Professional, der an der Entwicklung des zu testenden interaktiven Systems nicht beteiligt war und dadurch in dem Usability-Test objektiv ist","0 0 1 0 0 0","",""
